Date,No effective dose,TOTAL,Proportion_unvaccinated_deaths,Proportion_unvaccinated_population,Date,NSW - Residence state - Number of people 50 and over with 1 dose
2021/8/14,11,20,0.55,0.285414063,2021/7/28,1776096
2021/8/21,10,22,0.454545455,0.243781636,2021/8/4,1891054
2021/8/28,7,19,0.368421053,0.205807227,2021/8/11,2010312
2021/9/4,25,41,0.609756098,0.171659533,2021/8/18,2131524
2021/9/11,34,46,0.739130435,0.140457142,2021/8/25,2250256
2021/9/18,50,64,0.78125,0.116791558,2021/9/1,2347662
2021/9/25,49,57,0.859649123,0.098375049,2021/9/8,2447734
2021/10/2,56,78,0.717948718,0.083402515,2021/9/15,2524418
2021/10/9,42,65,0.646153846,0.070918985,2021/9/22,2581534
2021/10/16,17,36,0.472222222,0.060487563,2021/9/29,2629394
2021/10/23,19,29,0.655172414,0.053484573,2021/10/6,2666404
2021/10/30,10,17,0.588235294,0.049188836,2021/10/13,2701120
2021/11/6,13,25,0.52,0.046621572,2021/10/20,2725076
2021/11/13,8,12,0.666666667,0.044731727,2021/10/27,2740292
2021/11/20,6,11,0.545454545,0.043049934,2021/11/3,2748931
2021/11/27,5,6,0.833333333,0.041585747,2021/11/10,2754700
2021/12/4,0,4,0,0.040342285,2021/11/17,2759734
2021/12/11,4,11,0.363636364,0.039122385,2021/11/24,2764347
2021/12/18,2,4,0.5,0.037866102,2021/12/1,2768056
2021/12/25,0,8,0,0.036814505,2021/12/8,2771484
2022/1/1,6,22,0.272727273,0.035882799,2021/12/15,2775128
2022/1/8,17,72,0.236111111,0.034664038,2021/12/22,2778729
2022/1/15,35,143,0.244755245,0.033268806,2021/12/29,2781009
2022/1/22,47,234,0.200854701,0.031828973,2022/1/5,2784243
2022/1/29,79,376,0.210106383,0.030544673,2022/1/12,2788138
2022/2/5,39,218,0.178899083,0.029440605,2022/1/19,2792340
2022/2/12,51,172,0.296511628,0.028316588,2022/1/26,2796433
2022/2/19,40,143,0.27972028,0.027133962,2022/2/2,2799624
2022/2/26,14,60,0.233333333,0.025930942,2022/2/9,2802804
2022/3/5,9,53,0.169811321,0.024822271,2022/2/16,2806133
2022/3/12,10,48,0.208333333,0.023818541,2022/2/23,2809658
2022/3/19,15,44,0.340909091,0.022849809,2022/3/2,2813059
2022/3/26,6,36,0.166666667,0.021962307,2022/3/9,2815990
2022/4/2,19,71,0.267605634,0.021226279,2022/3/16,2818841
2022/4/9,16,72,0.222222222,0.020526237,2022/3/23,2821563
2022/4/16,24,83,0.289156627,0.019695315,2022/3/30,2823910
2022/4/23,19,78,0.243589744,0.018823357,2022/4/6,2825737
2022/4/30,13,81,0.160493827,0.01796912,2022/4/13,2828015
2022/5/7,20,101,0.198019802,0.017112012,2022/4/20,2830573
2022/5/14,15,88,0.170454545,0.016255647,2022/4/27,2833034
2022/5/21,14,85,0.164705882,0.01541329,2022/5/4,2835505
2022/5/28,13,97,0.134020619,0.014598802,2022/5/11,2837982
2022/6/4,19,83,0.228915663,0.013806194,2022/5/18,2840446
2022/6/11,11,78,0.141025641,0.013017497,2022/5/25,2842833
2022/6/18,1,75,0.013333333,0.01221479,2022/6/1,2845135
2022/6/25,12,103,0.116504854,,2022/6/8,2847403
2022/7/2,16,112,0.142857143,,2022/6/15,2849690
2022/7/9,11,92,0.119565217,,2022/6/22,2852046
2022/7/16,18,139,0.129496403,,,
2022/7/23,15,142,0.105633803,,,
2022/7/30,13,158,0.082278481,,,
2022/8/6,29,192,0.151041667,,,
2022/8/13,21,162,0.12962963,,,
2022/8/20,26,159,0.163522013,,,
2022/8/27,8,119,0.067226891,,,
2022/9/3,12,124,0.096774194,,,
2022/9/10,10,111,0.09009009,,,
2022/9/17,10,102,0.098039216,,,
2022/9/24,12,65,0.184615385,,,
2022/10/1,4,72,0.055555556,,,
2022/10/8,2,34,0.058823529,,,
2022/10/15,2,27,0.074074074,,,
2022/10/22,2,22,0.090909091,,,
2022/10/29,0,15,0,,,
2022/11/5,1,22,0.045454545,,,
2022/11/12,5,22,0.227272727,,,
2022/11/19,2,34,0.058823529,,,
2022/11/26,1,23,0.043478261,,,
2022/12/3,3,35,0.085714286,,,
2022/12/10,6,55,0.109090909,,,
2022/12/17,9,68,0.132352941,,,
