Date,r_2,r_2a
2021/8/14,0.830761434,0.830761434
2021/8/21,0.230074935,0.230074935
2021/8/28,0.386094796,0.386094796
2021/9/4,0.578140667,0.578140667
2021/9/11,0.360545895,0.360545895
2021/9/18,0.325867492,0.30472364
2021/9/25,0.295554389,0.244106467
2021/10/2,0.487218367,0.379755596
2021/10/9,0.502101294,0.372745316
2021/10/16,0.516710658,0.440802814
2021/10/23,0.312066451,0.184451829
2021/10/30,0.25202121,0.158811712
2021/11/6,0.32187988,0.158004234
2021/11/13,0.078244559,0
2021/11/20,0.1532563,0.034475746
2021/11/27,0,0
2021/12/4,0.037738117,0.039106756
2021/12/11,0.226293831,0.101399877
2021/12/18,0.037771775,0
2021/12/25,0.265768054,0.279143034
2022/1/1,0.53748126,0.268660979
2022/1/8,2.195990847,1.388169179
2022/1/15,3.628174646,1.764227384
2022/1/22,7.050293309,4.442418622
2022/1/29,10.71194519,5.938698657
2022/2/5,7.735346664,5.449293123
2022/2/12,5.428185168,2.002389392
2022/2/19,6.309791015,3.648903956
2022/2/26,3.474844925,2.577210382
2022/3/5,2.325974627,1.716443299
2022/3/12,3.693449158,3.034253564
2022/3/19,2.880577825,1.596573047
2022/3/26,2.111769925,1.622268844
2022/4/2,4.708875389,2.83776235
2022/4/9,4.79244919,3.124681638
2022/4/16,4.00867166,0.989517908
2022/4/23,2.866011487,0.247220811
2022/4/30,3.184728872,1.343475231
2022/5/7,3.934065106,0.708115074
2022/5/14,3.276109919,0.642701107
2022/5/21,5.450248603,3.00234157
2022/5/28,4.316460299,1.705769829
2022/6/4,2.665516701,0
2022/6/11,3.916903068,1.231819886
2022/6/18,3.459114272,3.589562167
2022/6/25,4.233521747,0.622455646
2022/7/2,4.255994462,0
2022/7/9,4.523784021,0.492128564
